source,odkvar,dbvar,dbtable,15-Sep,16-May
ODK Forms,fd10_animal_id_list,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd10_other_count,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd3_field_id,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd3_field_name,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd3_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd3b_1b,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd3b_2_qn_ans_bef,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd3b_field_name,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd3b_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_field_name,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_field_name,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_long_crops,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_long_unique,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_short_crops,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_short_unique,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd6aii_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd6bii_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_1,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_02_3,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,flow_1,-,-,rapid_water_17_09_2015_v1,rapid_water_15_05_2016_v1
ODK Forms,foodsecurity_lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,fr_count,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fr10c_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fr2_field_id,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fr2_field_name,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fr2_index,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,hh_b02_lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,hh_count,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,hhid,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,hhid,-,-,ffs_yields_maize_17_sep_2015_v1,ffs_yields_maize_17_sep_2015_v1
ODK Forms,hhid,-,-,ffs_yields_paddy_maize_17_sep_2015_v1,ffs_yields_paddy_maize_17_sep_2015_v1
ODK Forms,hv2_10_lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,k_item_index,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,L_month_1lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,L_week_1lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,L_year_1lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,L_year_glbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,lbl,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,long_cultivated_indexes,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,number_of_fields,-,-,ffs_lab_17_sep_2015_v1,ffs_lab_15_may_2016_v1
ODK Forms,rapid_road_asses_code,-,-,rapid_road_17_sep_2015_v1,rapid_road_15_may_2016_v1
ODK Forms,rapid_water_asses_code,-,-,rapid_water_17_09_2015_v1,rapid_water_15_05_2016_v1
ODK Forms,region,-,-,ffs_lab_17_sep_2015_v1,ffs_lab_15_may_2016_v1
ODK Forms,short_cultivated_indexes,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,town,-,-,vs_household_secv_17_sep_2015,vs_household_secv_15_may_2016
ODK Forms,tree_position,-,-,eplot_17_sep_2015_v1,eplot_15_may_2016_v1
ODK Forms,ward,-,-,ffs_lab_17_sep_2015_v1,ffs_lab_15_may_2016_v1
ODK Forms,water_sample_code,-,-,rapid_water_17_09_2015_v1,rapid_water_15_05_2016_v1
ODK Forms,water_smp_code,-,-,water_lab_17_sep_2015_v1,water_lab_15_may_2016_v1
ODK Forms,water01,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water02,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water03,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water04,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water05,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water06,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water07,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water08,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water09,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water10,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water11,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water12,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water13,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,water14,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,whole_roster,-,-,house_hold_17_sep_2015_v1,house_hold_15_may_2016_v1
ODK Forms,all_crops,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,either_cultivated_indexes,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_included,-,-,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,eplot_code,-,-,,ffs_lab_15_may_2016_v1
ODK Forms,hhid,-,-,,ffs_lab_15_may_2016_v1
ODK Forms,eplot_code,-,-,,ffs_15_may_2016_v1
ODK Forms,hhid,-,-,,ffs_15_may_2016_v1
ODK Forms,notes,-,-,,ffs_15_may_2016_v1
ODK Forms,hhid,-,-,,vs_household_secv_15_may_2016
ODK Forms,hhid,-,-,,house_hold_15_may_2016_v1
ODK Forms,hhid,-,-,,ffs_yields_dry_weight_17_sep_2015_v1
Database - Linking Variable,,clerk_id,agric,,
Database - Linking Variable,,enumerator_id,agric,,
Database - Linking Variable,,hh_head_refno,agric,,
Database - Linking Variable,,hh_refno,agric,,
Database - Linking Variable,,supervisor_id,agric,,
ODK Forms,fd12_10,ag12a_vs_10,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_10,ag12a_vs_10_other,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_9,ag12b_vs_09a,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,clerk_id,clerk_code,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,clerk_first_name,clerk_first_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,clerk_last_name,clerk_last_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,country,country,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,data_entry_date,data_entry_date,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,date_of_interview,date_of_interview,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,district,district,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,end_time,end_time,agric,,agriculture_survey_15_may_2016
ODK Forms,enumerator_code,enumerator_code,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,enumerator_first_name,enumerator_first_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,enumerator_last_name,enumerator_last_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,eplot_no,eplot_no,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fr_01,fr_01,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fr_5,fr_5,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fr2_10,fr2_10,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,hh_first_name,hh_first_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,hh_last_name,hh_last_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,hh_no,hh_no,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,landscape_no,landscape_no,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,questionnaire_inspection_date,questionnaire_inspection_date,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,region,region,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,supervisor_id,supervisor_code,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,supervisor_first_name,supervisor_first_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,supervisor_last_name,supervisor_last_name,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,survey_instrument,survey_instrument,agric,,agriculture_survey_15_may_2016
ODK Forms,time_interview_start,time_interview_start,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,town,town,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,ward,ward,agric,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,enumerator,enumerator_first_name,agric,,agriculture_survey_15_may_2016
ODK Forms,enumerator,enumerator_last_name,agric,,agriculture_survey_15_may_2016
ODK Forms,supervisor,supervisor_first_name,agric,,agriculture_survey_15_may_2016
ODK Forms,supervisor,supervisor_last_name,agric,,agriculture_survey_15_may_2016
ODK Forms,clerk,clerk_first_name,agric,,agriculture_survey_15_may_2016
ODK Forms,clerk,clerk_last_name,agric,,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_crop_name,ag09_02_1,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_03_pro,ag09_03,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_03_by,ag09_03_by,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_03_by,ag09_03_by_other,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_03_pro,ag09_03_other,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_product_name,ag09_03_product_name,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_04_1,ag09_04_1,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_04_2,ag09_04_2,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_05,ag09_05,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_06_1,ag09_06_1,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_06_2,ag09_06_2,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_7_1,ag09_07,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_7_2,ag09_07_2,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_08,ag09_08,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_09,ag09_10,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_10,ag09_11,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_8a,ag09_vs_8a,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_8b_1,ag09_vs_8b_1,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_8b_2,ag09_vs_8b_2,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_02_3_options,is_byproduct,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_02_3_options,is_processed,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd9_5a_included,zaocode,agric_byprod,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
Database - Pivot Variable,,season,agric_crops_by_field,,
ODK Forms,fd4_01,ag4a_01,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_01,ag4a_01,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_02,ag4a_02,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_02,ag4a_02,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_03,ag4a_04,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_03,ag4a_04,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_04,ag4a_05,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_04,ag4a_05,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_04,ag4a_05_other,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_04,ag4a_05_other,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_06,ag4a_06,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_06,ag4a_06,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_07,ag4a_08,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_07,ag4a_08,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_08_1,ag4a_15,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_08_1,ag4a_15,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_08_2,ag4a_15_unit,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_08_2,ag4a_15_unit,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_09,ag4a_16,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_09,ag4a_16,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_10,ag4a_19,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_10,ag4a_19,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_11,ag4a_21,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_11,ag4a_21,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_12,ag4a_23,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_12,ag4a_23,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_05,ag4a_vs_5a,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_05,ag4a_vs_5a,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_crop_name,crop_name,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_crop_name,crop_name,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_field_id,field_id,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_field_id,field_id,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_crop_id,zaocode,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4_included,zaocode,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd4b_crop_id,zaocode,agric_crops_by_field,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
Database - Pivot Variable,,season,agric_crops_by_hh,,
ODK Forms,fd5_01,ag5a_01,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_01,ag5a_01,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_02_1,ag5a_02_1,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_02_1,ag5a_02_1,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_02_2,ag5a_02_2,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_02_2,ag5a_02_2,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_03,ag5a_03,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_03,ag5a_03,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_04,ag5a_12_1,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_04,ag5a_12_1,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_05,ag5a_20,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_05,ag5a_20,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_06,ag5a_21,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_06,ag5a_21,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_06,ag5a_21_other,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_06,ag5a_21_other,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_07,ag5a_22,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_07,ag5a_22,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_08,ag5a_24,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_08,ag5a_24,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_08,ag5a_24_other,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_08,ag5a_24_other,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_09,ag5a_25,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_09,ag5a_25,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_10,ag5a_26,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_10,ag5a_26,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_crop_name,crop_name,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_crop_name,crop_name,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_crop_id,zaocode,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5_included,zaocode,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_crop_id,zaocode,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd5s_included,zaocode,agric_crops_by_hh,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_02_a,ag12a_02_1,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_02_b,ag12a_02_2,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_02_c,ag12a_02_3,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_02_d,ag12a_02_4,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_02_e,ag12a_02_5,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_02_f,ag12a_02_6,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_03,ag12a_03,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_04,ag12a_04,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_05,ag12a_05,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_extension,source_id,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_source_id,source_id,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_source_name,source_name,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_other,sourceid,agric_extension,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
ODK Forms,fd12_6_other,ag12b_06,agric_extension_family,agriculture_survey_17_sep_2015v1,agriculture_survey_15_may_2016
